Formatted_Date,Vsw,Vsw-12h,Vsw-24h,Vsw-36h,Nsw,Nsw-12h,Nsw-24h,Nsw-36h,by,by-12h,by-24h,by-36h,bz,bz-12h,bz-24h,bz-36h,Kp,Kp-12h,Kp-24h,Kp-36h,131keV,131keV-12h,131keV-24h,131keV-36h,272keV,272keV-12h,272keV-24h,272keV-36h,380keV,380keV-12h,380keV-24h,380keV-36h,906keV,906keV-12h,906keV-24h,906keV-36h,2MeV,2MeV-12h,2MeV-24h,2MeV-36h,mlt,131keV-next,272keV-next,380keV-next,906keV-next,2MeV-next
2024-04-14-05-50,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.83,2.83,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.195815950228996,6.212375254301254,6.212375254301254,6.212375254301254,5.857094903736624,5.845059049770648,5.845059049770648,5.845059049770648,4.351710264643066,4.343311882204767,4.343311882204767,4.343311882204767,3.5671698049582785,3.5898198581736667,3.5898198581736667,3.5898198581736667,1.0526319849170451,0.5648865002803333,0.5648865002803333,0.5648865002803333,0.8,6.192485728002875,5.76133698227091,4.293883717572722,3.4482287617190064,0.20590208949524458
2024-04-14-05-55,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.83,2.83,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.197903814902837,6.211169301018053,6.211169301018053,6.211169301018053,5.847118931182161,5.845230706554941,5.845230706554941,5.845230706554941,4.371193329633494,4.3456353361571605,4.3456353361571605,4.3456353361571605,3.642344453265838,3.5941969077646805,3.5941969077646805,3.5941969077646805,0.2963186849436783,0.5425058490022786,0.5425058490022786,0.5425058490022786,0.88,6.178406655083872,5.80457025841917,4.314711413188759,3.5894590436565785,1.0526319849170451
2024-04-14-06-00,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.230277749372778,6.209920453764582,6.212639181660723,6.212639181660723,5.7654128589290305,5.838012650294497,5.839090872122179,5.839090872122179,4.25927770299532,4.3359246062101935,4.338992441298558,4.338992441298558,3.507191731022634,3.5842903340866314,3.5875042018614467,3.5875042018614467,1.0526319849170451,0.5425058490022786,0.5817463209957222,0.5817463209957222,0.96,6.138027065236532,5.735690287926447,4.215042889957191,3.6062497248088077,0.21860106443466099
2024-04-14-06-05,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.230277749372778,6.20903268847446,6.213899079354443,6.213899079354443,5.7654128589290305,5.832764581486835,5.833828156894096,5.833828156894096,4.25927770299532,4.328887443871873,4.3332985314197545,4.3332985314197545,3.507191731022634,3.579283453523507,3.581767596801532,3.581767596801532,1.0526319849170451,0.5894829022919029,0.6153810112758166,0.6153810112758166,1.05,6.103600319002494,5.630229375163005,4.1756131921877815,3.416098287852269,1.0526319849170451
2024-04-14-06-10,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.209038161386781,6.214990990688998,6.214990990688998,5.7654128589290305,5.825119389600395,5.829267137029759,5.829267137029759,4.25927770299532,4.32420093934928,4.328363809524793,4.328363809524793,3.507191731022634,3.571758800565129,3.5767958724162714,3.5767958724162714,1.0526319849170451,0.6488912767438659,0.6445310761852319,0.6445310761852319,1.13,6.014911177341009,5.60619799091059,4.197453473217774,3.68378632981843,1.0526319849170451
2024-04-14-06-15,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.209833042603913,6.2159464131067335,6.2159464131067335,5.7654128589290305,5.820040623537993,5.825276244648463,5.825276244648463,4.25927770299532,4.3199402887707,4.324045927866701,4.324045927866701,3.507191731022634,3.5626720014925555,3.572445613579169,3.572445613579169,1.0526319849170451,0.6796327967877076,0.6700373829809703,0.6700373829809703,1.21,5.993067193873932,5.527085807029529,4.1265079513446565,3.486091002345008,0.3191962954825809
2024-04-14-06-20,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.211108597300562,6.21678943288709,6.21678943288709,5.7654128589290305,5.811490355366547,5.821754869017907,5.821754869017907,4.25927770299532,4.311097279179501,4.320236032286031,4.320236032286031,3.507191731022634,3.556318498228875,3.568607149899373,3.568607149899373,1.0526319849170451,0.728073272382966,0.6925429478007393,0.6925429478007393,1.29,5.959337711606343,5.589684976542458,4.196917731243944,3.781871354122875,0.4214481977415555
2024-04-14-06-25,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.213492614326858,6.217538783802961,6.217538783802961,5.7654128589290305,5.8068960185123,5.818624757346302,5.818624757346302,4.25927770299532,4.302346646832238,4.316849458436547,4.316849458436547,3.507191731022634,3.548549740289981,3.5651951821839987,3.5651951821839987,1.0526319849170451,0.7948456962496825,0.7125478943072008,0.7125478943072008,1.37,6.033425513762438,5.763821005138463,4.29596371041436,3.803317043686037,0.3445770014305676
2024-04-14-06-30,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.215870230109692,6.218209255675058,6.218209255675058,5.7654128589290305,5.800462828869715,5.815824131113814,5.815824131113814,4.25927770299532,4.294658368082294,4.313819366044903,4.313819366044903,3.507191731022634,3.5399572885205055,3.562142368964979,3.562142368964979,1.0526319849170451,0.8455489377216623,0.7304470569708769,0.7304470569708769,1.45,6.063833169204244,5.687105722710202,4.186600966916077,3.675533814501957,0.5156368200381753
2024-04-14-06-35,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.8299999999999987,2.8299999999999987,3.1,3.100000000000001,3.100000000000001,3.100000000000001,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.218465618315273,6.218812680359944,6.218812680359944,5.7654128589290305,5.793577146222967,5.813303567504573,5.813303567504573,4.25927770299532,4.289423941230616,4.311092282892424,4.311092282892424,3.507191731022634,3.533020157292847,3.5593948370678623,3.5593948370678623,1.0526319849170451,0.9007598155040024,0.7465563033681852,0.7465563033681852,1.54,6.048980434575071,5.638128334341383,4.244140750275431,4.012911626476766,0.22565892837930512
