Formatted_Date,Kp,2MeV,131keV,272keV,380keV,906keV,Nsw,Vsw,by,bz,mlt,Kp-12h,Kp-24h,Kp-36h,2MeV-12h,2MeV-24h,2MeV-36h,131keV-12h,131keV-24h,131keV-36h,272keV-12h,272keV-24h,272keV-36h,380keV-12h,380keV-24h,380keV-36h,906keV-12h,906keV-24h,906keV-36h,Nsw-12h,Nsw-24h,Nsw-36h,Vsw-12h,Vsw-24h,Vsw-36h,by-12h,by-24h,by-36h,bz-12h,bz-24h,bz-36h,131keV-next,272keV-next,380keV-next,906keV-next,2MeV-next
2024-04-14-06-20,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.29,1.3330000000000002,1.3329999999999995,1.3329999999999995,1.174473946414522,1.2371376581997542,1.2371376581997542,3.2004395764891824,3.2039636680441,3.2039636680441,2.2413189983186244,2.246068888948592,2.246068888948592,1.881597055307361,1.886852232481904,1.886852232481904,0.9338799489664776,0.9383035096829996,0.9383035096829996,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.0442541635275084,2.138678841528208,1.8159388908820835,1.0150724816857,1.7152589105087204
2024-04-14-06-25,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.37,1.3330000000000002,1.3329999999999995,1.3329999999999995,1.0567095304238403,1.2018555655957657,1.2018555655957657,3.2019184952399864,3.2044285259323577,3.2044285259323577,2.2391929747858863,2.2446204337558084,2.2446204337558084,1.87656506430836,1.884904806461499,1.884904806461499,0.9310834198308068,0.9370752995622744,0.9370752995622744,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.0902143385623067,2.2192600671626392,1.8728946005833007,1.0227923123419858,1.8508342126445017
2024-04-14-06-30,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.45,1.3330000000000002,1.3329999999999995,1.3329999999999995,0.9672858241240524,1.1702873774764075,1.1702873774764075,3.2033934429960866,3.2048444514113257,3.2048444514113257,2.236216024465393,2.2433244475306866,2.2433244475306866,1.872143972445252,1.8831623726537683,1.8831623726537683,0.9279903846366112,0.9359763747174152,0.9359763747174152,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.1090776483897296,2.183760167843684,1.810006306449728,0.9767940296983286,1.5491414108674155
2024-04-14-06-35,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.54,1.3330000000000002,1.3329999999999995,1.3329999999999995,0.8699121419682497,1.1418760081689854,1.1418760081689854,3.2050034853072407,3.2052187843423967,3.2052187843423967,2.233029683583048,2.2421580599280766,2.2421580599280766,1.8691339512539482,1.8815941822268107,1.8815941822268107,0.9254932171680516,0.9349873423570418,0.9349873423570418,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.0998637931607136,2.16109594370263,1.843094163470633,1.0982403263055314,2.060566263881296
2024-04-14-06-40,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,2.8,331.8,4.46,1.19,1.62,1.3330000000000002,1.3329999999999995,1.3329999999999995,0.8027983996145428,1.116170483557508,1.116170483557508,3.206675208646373,3.2055574665181266,3.2055574665181266,2.2299775336701484,2.241102756859049,2.241102756859049,1.8655714251984241,1.8801753432690875,1.8801753432690875,0.9240012783952032,0.9340925035547992,0.9340925035547992,0.9116666666666666,0.8380952380952381,0.8380952380952381,333.35833333333335,333.4190476190476,333.4190476190476,2.9658333333333333,2.9076190476190473,2.9076190476190473,2.940833333333334,3.00904761904762,3.00904761904762,3.083114767496614,2.1825376271833177,1.887902348356157,1.0675971496309091,1.8609190857759168
2024-04-14-06-45,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,2.36,334.5,4.78,-0.03,1.7,1.3330000000000002,1.3329999999999993,1.3329999999999993,0.7132171488784277,1.0928018248198017,1.0928018248198017,3.2088759955986177,3.2058653594051547,3.2058653594051547,2.2266829563554333,2.24014339043266,2.24014339043266,1.8615909825680348,1.8788854896711569,1.8788854896711569,0.9220491831188644,0.9332790137345788,0.9332790137345788,1.0466666666666666,0.9072727272727272,0.9072727272727272,333.44166666666666,333.4681818181818,333.4681818181818,3.1283333333333334,2.992727272727272,2.992727272727272,2.68,2.8709090909090915,2.8709090909090915,3.06678074688878,2.2092032381566176,1.895317389643945,1.0416623802564209,1.6754936871250066
2024-04-14-06-50,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,2.82,327.5,4.05,-0.46,1.78,1.3330000000000002,1.3329999999999993,1.3329999999999993,0.7132171488784277,1.0714652233636346,1.0714652233636346,3.210657519541121,3.2061464789976584,3.2061464789976584,2.223147477225108,2.2392674471737832,2.2392674471737832,1.85716159011798,1.8777077972556548,1.8777077972556548,0.9202499848366577,0.9325362621595948,0.9325362621595948,1.22,0.9904347826086956,0.9904347826086956,332.94166666666666,333.2086956521739,333.2086956521739,3.23,3.038695652173912,3.038695652173912,2.3833333333333333,2.72608695652174,2.72608695652174,3.0563027665261475,2.222886393698774,1.9113057718976711,1.0861419876368419,1.9663144252519718
2024-04-14-06-55,1.3330000000000002,1.7907838805065763,3.229694275702645,2.2331632985349983,1.8622482157012468,0.8994260251267329,2.82,327.5,4.05,-0.46,1.86,1.3330000000000002,1.3329999999999993,1.3329999999999993,0.7011203154261801,1.1014368340779241,1.1014368340779241,3.213778040505236,3.207127637193699,3.207127637193699,2.2210939123998714,2.2390131076471667,2.2390131076471667,1.8526693684135032,1.877063648024221,1.877063648024221,0.9147982523113464,0.931156668949892,0.931156668949892,1.393333333333333,1.0666666666666669,1.0666666666666669,332.44166666666666,332.97083333333336,332.97083333333336,3.3316666666666666,3.0808333333333318,3.0808333333333318,2.0866666666666664,2.593333333333334,2.593333333333334,3.0811564841545267,2.2713275298812796,1.9047894159376282,1.0784711832748843,0.6020599913279624
2024-04-14-07-00,1.3330000000000002,1.4312639824227924,3.2323672013374747,2.24117061902834,1.88983511073498,0.9958561407548416,2.16,323.7,3.39,-0.85,1.95,1.3330000000000002,1.3329999999999993,1.3329999999999993,0.7702206480174159,1.1359870003735415,1.1146299200117185,3.21544771478063,3.207575114761461,3.20813721975945,2.222858406029025,2.238225281287185,2.239099408102414,1.8558390806318663,1.8758564598703305,1.8775745065326517,0.9214366200817542,0.9326928122162966,0.9337446478220902,1.5116666666666667,1.1258333333333337,1.1104,331.625,332.5625,332.6,3.3783333333333334,3.1041666666666656,3.0931999999999986,1.7574999999999996,2.4287500000000004,2.4556000000000004,3.109186590318613,2.2760138604906497,1.935142738389752,1.0818555065829576,1.2088459076308398
2024-04-14-07-05,1.3330000000000002,1.5951055185904082,3.2353675551999634,2.252709623914658,1.9239514509285445,0.9148089449787578,1.89,323.9,4.5,-2.47,2.03,1.3330000000000002,1.3329999999999993,1.3329999999999993,0.852974441955953,1.1359379244242704,1.1331097507262835,3.2173674185445647,3.2082596052010834,3.2091845403533155,2.225584483398705,2.238374051390891,2.2396228779413465,1.8618518211996935,1.8768394942317828,1.8793582351632632,0.9213210548708216,0.9317338632027806,0.9330163515588852,1.6075000000000002,1.1737500000000003,1.1403846153846156,330.825,332.1625,332.2653846153846,3.5175,3.1737499999999987,3.1473076923076917,1.2933333333333332,2.1966666666666668,2.266153846153846,3.122338574417277,2.2853161017684327,1.9527277806801804,1.0815560776201425,1.5636399186750924
