Formatted_Date,Kp,2MeV,131keV,272keV,380keV,906keV,Nsw,Vsw,by,bz,mlt
2024-04-14-08-30,1.3330000000000002,1.5491414108674155,3.1090776483897296,2.183760167843684,1.8100063064497276,0.9767940296983286,1.47,337.7,-1.49,0.36,3.42
2024-04-14-08-35,1.3330000000000002,2.060566263881296,3.0998637931607136,2.16109594370263,1.843094163470633,1.0982403263055314,1.59,340.6,-1.9,1.22,3.5
2024-04-14-08-40,1.3330000000000002,1.8609190857759172,3.083114767496614,2.1825376271833177,1.887902348356157,1.0675971496309093,1.59,340.6,-1.9,1.22,3.58
2024-04-14-08-45,1.3330000000000002,1.6754936871250066,3.0667807468887793,2.2092032381566176,1.895317389643945,1.041662380256421,1.59,340.6,-1.9,1.22,3.66
2024-04-14-08-50,1.3330000000000002,1.9663144252519722,3.0563027665261475,2.222886393698774,1.9113057718976711,1.0861419876368419,1.61,339.5,-2.7,1.8,3.74
2024-04-14-08-55,1.3330000000000002,0.6020599913279624,3.081156484154527,2.2713275298812796,1.9047894159376277,1.0784711832748843,1.61,339.5,-2.7,1.8,3.83
2024-04-14-09-00,1.3330000000000002,1.2088459076308398,3.109186590318613,2.2760138604906497,1.935142738389752,1.0818555065829576,1.61,339.5,-0.7,3.37,3.91
2024-04-14-09-05,1.3330000000000002,1.5636399186750924,3.122338574417277,2.2853161017684327,1.9527277806801804,1.0815560776201425,50.46,378.5,-3.59,0.41,3.99
2024-04-14-09-10,1.3330000000000002,1.6036204072515958,3.1363555814520887,2.296006964285294,1.9592808016803767,1.0654123783876113,1.89,347.6,-2.89,1.89,4.07
2024-04-14-09-15,1.3330000000000002,1.8633943420622552,3.1576941062424226,2.303756172360828,1.9570074135257824,1.0870456591361313,1.89,347.6,-2.89,1.89,4.15
2024-04-14-09-20,1.3330000000000002,1.964248506227026,3.1868828397570765,2.310575472037328,1.9547285346313141,1.0791656796730387,1.89,347.6,-2.89,1.89,4.23
2024-04-14-09-25,1.3330000000000002,1.815528814596179,3.2206252139747,2.3316018446162063,2.0057726448117776,1.0925078214287156,1.98,344.0,-0.98,0.44,4.32
2024-04-14-09-30,1.3330000000000002,2.1006127242248653,3.249474989833007,2.331201895676339,1.9804490471997651,1.0915021750404725,1.98,344.0,-0.98,0.44,4.4
2024-04-14-09-35,1.3330000000000002,1.7139064804703528,3.2478070926382805,2.3370340234260807,1.985567608323791,1.1059771560672156,1.98,344.0,-0.98,0.44,4.48
2024-04-14-09-40,1.3330000000000002,1.0867784485468217,3.259706862562435,2.338058216192113,2.0039648561308314,1.139818972771665,1.98,344.0,-0.98,0.44,4.56
2024-04-14-09-45,1.3330000000000002,1.8327690831505052,3.266274628816102,2.3368181969547743,2.0286746260377346,1.1151456945889013,1.98,344.0,-0.98,0.44,4.64
2024-04-14-09-50,1.3330000000000002,1.8209559090066327,3.261479259129167,2.3622890232217557,2.033660323309013,1.1494386700309345,2.26,347.0,-0.62,0.65,4.72
2024-04-14-09-55,1.3330000000000002,2.1633378143025785,3.243164598490681,2.365443423034491,2.0181819843046718,1.1052890724739797,0.88,353.1,-0.21,0.03,4.81
2024-04-14-10-00,1.3330000000000002,1.4613541075145298,3.2191365500579905,2.3540120465149137,2.0020484117399477,1.131480562279827,1.11,344.9,1.07,0.65,4.89
2024-04-14-10-05,1.3330000000000002,1.8190472937286117,3.2140431415188484,2.3411152940261184,2.0117171055138345,1.096220443500649,1.11,344.9,-0.38,0.6,4.97
2024-04-14-10-10,1.3330000000000002,1.9521116682907815,3.2050350085537613,2.3210165059864143,1.9724775873598823,1.114716661834028,1.11,344.9,-0.38,0.6,5.05
2024-04-14-10-15,1.3330000000000002,2.1755381428460576,3.196382052377668,2.3068088527731097,1.9949995936884524,1.1161890577954732,1.09,341.8,0.26,-0.42,5.13
2024-04-14-10-20,1.3330000000000002,1.285099612153145,3.1912872323483907,2.3330245213925775,1.9889578856930223,1.1303430950133737,1.09,341.8,0.26,-0.42,5.21
2024-04-14-10-25,1.3330000000000002,0.6020599913279624,3.1969614116319476,2.325113402760173,2.0078098234042434,1.141310588133693,1.28,350.3,-0.03,0.7,5.3
2024-04-14-10-30,1.3330000000000002,2.188878340164405,3.2006337123221957,2.346210325403766,2.01136364054204,1.1246810740955593,1.28,353.5,1.39,-1.33,5.38
2024-04-14-10-35,1.3330000000000002,1.8456986286850798,3.202493172811879,2.3495698091937185,2.0093582143460034,1.1431762867507032,1.41,355.3,2.35,-1.21,5.46
2024-04-14-10-40,1.3330000000000002,1.802973109908015,3.201446768360677,2.3353618396129554,1.9996595800312764,1.1445619989102171,1.73,357.3,2.25,-1.58,5.54
2024-04-14-10-45,1.3330000000000002,1.9878798315130362,3.190930075564521,2.344667244124739,2.0454006726516925,1.1916786969229662,1.59,353.5,0.89,-2.52,5.62
2024-04-14-10-50,1.3330000000000002,2.090802331980021,3.1846847779712704,2.3623274361501374,2.0796861912673807,1.1715610420217446,1.03,350.0,-4.02,-3.16,5.71
2024-04-14-10-55,1.3330000000000002,1.9221114545890539,3.19112629038287,2.3525091116351127,2.059378313149446,1.2083726593849253,1.03,350.0,-4.02,-3.16,5.79
2024-04-14-11-00,1.3330000000000002,2.2051356363641585,3.1844816438526076,2.3773247801617643,2.073130795527261,1.2653843245643042,1.66,349.7,-3.03,-0.15,5.87
2024-04-14-11-05,1.3330000000000002,2.169538253777888,3.1951471409436762,2.4258838677061823,2.1224047387373632,1.205429235032014,1.66,349.7,-3.03,-0.15,5.95
2024-04-14-11-10,1.3330000000000002,2.2541265448034054,3.191473666128673,2.448483545433779,2.129166275152668,1.2559582522161008,1.19,356.8,-3.07,1.38,6.04
2024-04-14-11-15,1.3330000000000002,2.0654382210140323,3.1833847916363136,2.4470989067245545,2.124968340863521,1.2907272398514955,1.19,356.8,-3.07,1.38,6.12
2024-04-14-11-20,1.3330000000000002,2.0752231294774868,3.178315588853697,2.451207667872022,2.1098298397731834,1.2518243251880452,1.19,356.8,-3.07,1.38,6.2
2024-04-14-11-25,1.3330000000000002,2.3664120121666365,3.183974485765281,2.4167784042958176,2.1181558571574186,1.2841073629600501,1.17,358.1,-2.64,1.03,6.28
2024-04-14-11-30,1.3330000000000002,2.4246949497273262,3.202159562854966,2.4190560911215444,2.1551403867150523,1.3019328702608384,1.25,350.1,-3.66,0.1,6.37
2024-04-14-11-35,1.3330000000000002,2.2976109565227008,3.228125893947522,2.456165097056586,2.171215375658018,1.292451543550152,1.25,350.1,-3.66,0.1,6.45
2024-04-14-11-40,1.3330000000000002,2.364965867172616,3.2319357367800405,2.4769026917864183,2.1744992360921773,1.3035043006301983,1.23,353.7,-3.9,-1.49,6.53
2024-04-14-11-45,1.3330000000000002,2.2816833832883012,3.224338601098672,2.4680517734098317,2.1425138775963433,1.3176522146242513,1.23,357.7,-3.58,-2.18,6.61
2024-04-14-11-50,1.3330000000000002,2.3297934452994675,3.2596461320228265,2.467059235312408,2.170363747294844,1.320705154443162,1.43,352.2,-3.16,-1.8,6.7
2024-04-14-11-55,1.3330000000000002,2.4805829614205135,3.285178653679239,2.4626348074296565,2.19136258832383,1.3250996805523085,1.87,350.9,-0.63,-4.02,6.78
2024-04-14-12-00,1.3330000000000002,2.2975495036805897,3.3042957558805566,2.4781623585416157,2.1941349449559553,1.368648094341099,2.51,347.3,-1.75,1.95,6.86
2024-04-14-12-05,1.3330000000000002,2.392560156548876,3.3138372121169093,2.494553124048499,2.2498112125084897,1.3508557947769215,2.51,347.3,-1.75,1.95,6.95
2024-04-14-12-10,1.3330000000000002,2.3919835162223584,3.298948944748694,2.5541052455058186,2.2231937357912543,1.3771489985271856,2.65,349.1,-1.78,1.61,7.03
2024-04-14-12-15,1.3330000000000002,2.467262968053674,3.278032368441135,2.535590891886707,2.237428796904496,1.3865387041687547,2.87,347.2,-2.66,0.18,7.11
2024-04-14-12-20,1.3330000000000002,2.4281277715338003,3.2435910765387663,2.5324403763524765,2.2106508436331587,1.3687756809237646,2.31,350.6,-1.63,-0.27,7.2
2024-04-14-12-25,1.3330000000000002,2.238491364831155,3.2199641586683025,2.5167751235132503,2.2230176681894154,1.3973611026794437,3.05,342.5,-2.88,1.31,7.28
2024-04-14-12-30,1.3330000000000002,2.4476187287261864,3.2111488734018048,2.5248386742907147,2.2575100528405527,1.401427638846964,1.68,350.0,-1.86,0.18,7.36
2024-04-14-12-35,1.3330000000000002,2.464315578217385,3.2110498495541573,2.5417205547707735,2.2642550081632637,1.3862505661272475,2.12,348.6,-1.61,-2.66,7.45
